"List of plants for solar, Colorado, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=004&geo=0000000000g&sec=g&freq=Q&rtype=s&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=202103&start=200101"
"Fri Jun 18 2021 14:53:48 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"SunE Alamosa",56481,"CO","Electric utility non-cogen","PV","SUN"
"Denver Int Airport",56815,"CO","Electric utility non-cogen","PV","SUN"
"WWRF Solar Plant",56922,"CO","Electric utility non-cogen","PV","SUN"
"RV CSU Power LLC",57141,"CO","Commercial non-cogen","PV","SUN"
"San Luis Valley Solar Ranch",57317,"CO","Electric utility non-cogen","PV","SUN"
"Cogentrix of Alamosa",57368,"CO","Electric utility non-cogen","PV","SUN"
"Greater Sandhill I",57377,"CO","Electric utility non-cogen","PV","SUN"
"RV CSU Power II LLC",57507,"CO","Commercial non-cogen","PV","SUN"
"Carson Solar I",57509,"CO","Electric utility non-cogen","PV","SUN"
"AFA Solar Farm",57554,"CO","Electric utility non-cogen","PV","SUN"
"City & County of Denver at Denver Int'l",57645,"CO","Electric utility non-cogen","PV","SUN"
"City of Boulder WWTP",57681,"CO","Electric utility non-cogen","PV","SUN"
"CSU Pueblo",58481,"CO","Commercial non-cogen","PV","SUN"
"SMPA Solar 1 Community Solar",58547,"CO","Electric utility non-cogen","PV","SUN"
"Brighton PV Solar Plant",59144,"CO","Electric utility non-cogen","PV","SUN"
"Sterling PV 3",59198,"CO","Electric utility non-cogen","PV","SUN"
"Mesa PV1",59199,"CO","Electric utility non-cogen","PV","SUN"
"Eagle Springs Solar LLC",59239,"CO","Electric utility non-cogen","PV","SUN"
"Denver Intl Airport IV Solar",59462,"CO","Electric utility non-cogen","PV","SUN"
"Comanche Solar",59656,"CO","Electric utility non-cogen","PV","SUN"
"Sunnyside Ranch Community Solar Array",59742,"CO","Electric utility non-cogen","PV","SUN"
"Airport 1 Solar (DIA)",59807,"CO","Electric utility non-cogen","PV","SUN"
